gene	PLP_in_hotspot	BLB_in_hotspot	PLP_in_all	BLB_in_all	P-value	oddsratio
PEX7	6	0	16	10	0.05320766190331401	inf
GCK	146	11	214	41	1.0525798136456926e-06	5.855614973262032
PEX1	6	0	39	34	0.027066408776262978	inf
SLC26A4	28	1	105	39	0.0007742116702323164	13.818181818181818
CLCN1	5	0	59	39	0.15365659314833657	inf
TTPA	5	0	8	11	0.004815961472308216	inf
GDAP1	5	0	19	14	0.05742913000977505	inf
TRPS1	7	0	13	22	0.0002551855002290119	inf
EXT1	8	1	34	30	0.02942726127133856	8.923076923076923
CYP11B1	12	2	39	32	0.014852317757828547	6.666666666666667
GALT	33	2	77	13	0.07153816621207788	4.125
GNE	6	0	43	14	0.31915480525212503	inf
ENG	17	3	75	91	0.00017303578513085512	8.597701149425287
ASS1	5	1	42	15	1.0	1.8918918918918919
OAT	15	1	23	5	0.13308913308913323	7.5
EBF3	5	1	13	5	0.6148459383753491	2.5
HBB	5	0	43	29	0.0772861808532355	inf
TPP1	5	1	32	43	0.07778033870258444	7.777777777777778
ABCC8	10	2	72	56	0.06594016549732537	4.354838709677419
RAG1	34	4	55	21	0.0016746784123150191	6.880952380952381
RAG2	14	0	28	7	0.027180378673868088	inf
BEST1	41	2	60	16	9.698297537483887e-05	15.105263157894736
DHCR7	11	1	59	44	0.011871256990502696	9.854166666666666
MYO7A	21	3	124	113	0.00019173210399569656	7.475728155339806
TYR	37	0	75	7	0.01464456952261831	inf
ACAT1	5	0	35	7	0.5691386063658203	inf
PTS	8	0	23	2	1.0	inf
VWF	14	0	53	60	8.76608646188136e-06	inf
KRAS	6	1	23	7	1.0	2.1176470588235294
TUBA1A	29	3	72	21	0.03616802705871999	4.046511627906977
ACVRL1	28	1	98	52	2.1897458686158887e-05	20.4
KRT5	5	0	18	27	0.007012839684422218	inf
PAH	375	12	419	14	0.6516278913073237	1.4204545454545454
HNF1A	55	2	111	61	2.358586321083385e-11	28.973214285714285
GJB2	34	3	74	23	0.006069170591667181	5.666666666666667
TGM1	12	1	63	25	0.09894630024494958	5.647058823529412
NKX2-1	13	2	15	7	0.013550755230321789	16.25
ATL1	6	1	16	20	0.029843022252889383	11.4
RDH12	5	1	39	5	0.5378100345485484	0.5882352941176471
PSEN1	10	1	31	9	0.39942264245669884	3.8095238095238093
GALC	17	2	49	34	0.0027966690973953885	8.5
CAPN3	26	3	79	21	0.11155843246290476	2.943396226415094
HEXA	5	1	42	22	0.6551377398739793	2.8378378378378377
PMM2	16	2	53	14	0.3202298180341543	2.5945945945945947
GNAO1	7	0	19	33	0.00037663539051142946	inf
SLC12A3	25	3	78	45	0.0014231911792118308	6.60377358490566
GALNS	13	1	66	27	0.0593206364198344	6.377358490566038
PRPF8	7	0	10	48	3.991032310040628e-07	inf
ACADVL	11	0	66	38	0.0065284936622215	inf
CHD3	5	1	11	14	0.056086956521739124	10.833333333333334
PMP22	5	1	16	18	0.07821822226716581	7.7272727272727275
ALDH3A2	5	0	23	11	0.14986559139784977	inf
HNF1B	10	1	34	18	0.0730570359934087	7.083333333333333
KRT9	5	0	5	14	8.599931200550397e-05	inf
KRT16	5	0	5	13	0.00011671335200746963	inf
NAGLU	6	0	48	16	0.3231491594567363	inf
G6PC	7	0	34	17	0.08025314597007475	inf
ITGA2B	43	3	112	23	0.027899578571929477	4.154589371980676
ITGB3	9	0	78	40	0.027360251177845806	inf
PNPO	5	0	13	16	0.01083743842364534	inf
PPM1D	5	0	6	9	0.001998001998002002	inf
NPC1	5	0	79	66	0.06317791808321249	inf
TTR	41	7	52	23	0.00015484610416050237	8.519480519480519
GAMT	8	1	41	30	0.06902318001817603	7.03030303030303
GCDH	38	2	87	31	0.0001126812752173362	11.244897959183673
COMP	5	1	22	16	0.3696482860569549	4.411764705882353
PPP2R1A	5	0	7	15	0.0007974481658692175	inf
ADA	16	2	38	18	0.030856428741008888	5.818181818181818
SOD1	35	2	42	7	0.006547708686124898	12.5
PLA2G6	11	0	35	33	0.0003983949789974356	inf
ARSA	17	0	54	19	0.0037131833441028063	inf
RS1	18	1	42	10	0.07226923297339918	6.75
PHEX	25	1	81	22	0.011725797181890553	9.375
RPGR	6	1	52	58	0.05075932301912173	7.434782608695652
OTC	6	1	33	17	0.39827144178670515	3.5555555555555554
EDA	10	0	30	4	0.29575642573745	inf
GJB1	32	4	54	15	0.03970059498199763	4.0
GLA	64	5	137	40	7.773275448207997e-05	6.136986301369863
COL4A5	24	2	135	65	0.003002466750763492	6.8108108108108105
DCX	15	2	22	9	0.04387161258080631	7.5
F9	16	3	32	20	0.017091682653203384	5.666666666666667
IDS	8	0	35	32	0.005221133432535458	inf
ABCD1	38	6	75	47	1.6690985767735524e-05	7.018018018018018
G6PD	39	3	67	13	0.03185013959633294	4.642857142857143
F8	10	1	69	17	0.6849538949744816	2.711864406779661
